r_lat,r_lng,neighborhood,locality,county
41.929,-87.664,Lincoln Park,Chicago,Cook County
41.897,-87.631,Rush & Division,Chicago,Cook County
41.908,-87.673,West Town,Chicago,Cook County
41.88,-87.62,Chicago Loop,Chicago,Cook County
41.914,-87.649,Lincoln Park,Chicago,Cook County
41.903,-87.674,West Town,Chicago,Cook County
41.913,-87.681,West Town,Chicago,Cook County
41.794,-87.601,Hyde Park,Chicago,Cook County
41.795,-87.581,East Hyde Park,Chicago,Cook County
41.925,-87.666,Lincoln Park,Chicago,Cook County
41.99,-87.66,Edgewater,Chicago,Cook County
41.881,-87.63,Chicago Loop,Chicago,Cook County
41.89,-87.61,Streeterville,Chicago,Cook County
41.88,-87.65,West Loop,Chicago,Cook County
41.853,-87.632,Armour Square,Chicago,Cook County
41.878,-87.641,West Loop,Chicago,Cook County
41.914,-87.653,Lincoln Park,Chicago,Cook County
41.889,-87.627,River North,Chicago,Cook County
41.791,-87.6,Hyde Park,Chicago,Cook County
41.92,-87.65,Lincoln Park,Chicago,Cook County
41.872,-87.662,Little Italy,Chicago,Cook County
41.882,-87.625,Chicago Loop,Chicago,Cook County
41.895,-87.632,River North,Chicago,Cook County
41.936,-87.664,Lake View,Chicago,Cook County
41.857,-87.614,Near South Side,Chicago,Cook County
41.878,-87.635,Chicago Loop,Chicago,Cook County
41.93,-87.65,Sheffield & DePaul,Chicago,Cook County
41.896,-87.677,West Town,Chicago,Cook County
41.864,-87.624,Near South Side,Chicago,Cook County
41.896,-87.654,West Town,Chicago,Cook County
41.926,-87.658,Sheffield & DePaul,Chicago,Cook County
41.886,-87.642,West Loop,Chicago,Cook County
41.921,-87.664,Lincoln Park,Chicago,Cook County
41.884,-87.654,Fulton Market District,Chicago,Cook County
41.899,-87.622,Streeterville,Chicago,Cook County
41.878,-87.65,West Loop,Chicago,Cook County
41.961,-87.65,Uptown,Chicago,Cook County
41.903,-87.632,Near North,Chicago,Cook County
41.885,-87.62,Chicago Loop,Chicago,Cook County
41.916,-87.687,Bucktown,Chicago,Cook County
41.895,-87.638,River North,Chicago,Cook County
41.884,-87.649,Fulton Market District,Chicago,Cook County
41.88,-87.635,Chicago Loop,Chicago,Cook County
41.965,-87.658,Uptown,Chicago,Cook County
41.911,-87.649,Goose Island,Chicago,Cook County
41.895,-87.618,Streeterville,Chicago,Cook County
41.785,-87.601,Woodlawn,Chicago,Cook County
41.878,-87.655,West Loop,Chicago,Cook County
41.92,-87.7,Logan Square,Chicago,Cook County
41.966,-87.645,Uptown,Chicago,Cook County
41.907,-87.667,Pulaski Park,Chicago,Cook County
41.872,-87.647,Little Italy,Chicago,Cook County
41.918,-87.657,Lincoln Park,Chicago,Cook County
41.884,-87.63,Chicago Loop,Chicago,Cook County
41.958,-87.65,Uptown,Chicago,Cook County
41.903,-87.635,Near North,Chicago,Cook County
41.886,-87.618,Chicago Loop,Chicago,Cook County
41.869,-87.655,Little Italy,Chicago,Cook County
41.885,-87.632,Chicago Loop,Chicago,Cook County
41.858,-87.619,Near South Side,Chicago,Cook County
41.858,-87.625,Near South Side,Chicago,Cook County
41.91,-87.62,Lincoln Park,Chicago,Cook County
41.878,-87.644,West Loop,Chicago,Cook County
41.88,-87.64,West Loop,Chicago,Cook County
41.974,-87.66,Uptown,Chicago,Cook County
41.896,-87.661,West Town,Chicago,Cook County
41.89,-87.626,River North,Chicago,Cook County
41.873,-87.634,Chicago Loop,Lake Geneva,Cook County
41.883,-87.651,West Loop,Chicago,Cook County
