country,capital,id,area,population,highest point,neighboring countries,continent
Jordan,Amman,142,34495,11500000,6083,4,Asia
Slovenia,Ljubljana,1,7827,2100000,9396,4,Europe
Croatia,Zagreb,2,21851,3900000,6007,5,Europe
Bosnia & Herzegovina,Sarajevo,3,19772,3200000,7828,3,Europe
Montenegro,Podgorica,4,5333,617000,8314,4,Europe
Albania,Tirana,5,11100,2800000,9068,4,Europe
el salvador,san salvador,63,8124,6900000,8957,2,north america
honduras,tegucigalpa,64,43433,970000,9416,3,north america
nicaragua,managua,65,50337,6700000,6913,2,north america
sierra leone,freetown,84,27699,8500000,6391,2,africa
liberia,monrovia,85,43000,5200000,4724,3,africa
ivory coast,yamoussoukro/abidjan,86,124505,29400000,5748,5,africa
south africa,cape town/pretoria/bloemfontein,102,471447,62000000,11319,6,africa
lesotho,maseru,103,11720,2300000,11424,1,africa
India,New Dehli,159,1269224,1410000000,28169,6,asia
Indonesia,Jakarta,169,737817,279100000,16024,3,asia
Sri Lanka,Sri Jayawardenepura Kotte,160,25332,22000000,8281,0,asia
Cyprus,Nicosia,144,3572,1300000,6404,0,asia
Tonga,Nuku'alofa,188,288,100000,3389,0,oceania
Saint Lucia,Castries,49,238,179000,3117,0,North America
Gabon,Libreville,96,103347,2200000,3510,3,Africa
Dominica,Roseau,50,290,67000,4747,0,North America
Mexico,Mexico City,60,758452,129600000,18491,3,North America
Guatemala,Guatemala City,61,42042,17600000,13845,4,North America
Belize,Belmopan,62,8867,397000,3688,2,North America
Uganda,Kampala,116,93263,45600000,16762,5,Africa
Kenya,Nairobi,117,224082,51500000,17057,5,Africa
costa rica,san jose,66,19730,5300000,12533,2,north america
thailand,bangkok,166,198118,66100000,8415,4,asia
malaysia,kuala lumpur/putrajaya,167,127725,33400000,13435,3,asia
botswana,gaborone,101,224608,2400000,4892,4,africa
bolivia,la paz/sucre,75,424166,12000000,21463,5,south america
paraguay,asuncion,76,157049,6100000,2762,3,south america
uruguay,montevideo,77,68037,3400000,1686,2,south america
the bahamas,nassau,57,5383,401000,207,0,north america
canada,ottawa,58,3855117,40800000,19551,1,north america
united states of america,washington dc,59,3677663,335900000,20310,2,north america
ethiopia,addis ababa,121,426374,107300000,14928,6,africa
eritrea,asmara,120,45406,3700000,9902,3,africa
equatorial guinea,malabo,97,10831,1600000,9869,2,africa
papua new guinea,port moresby,192,178704,11800000,14793,1,oceania
bangladesh,dhaka,164,56977,169800000,3488,2,asia
myanmar,naypyidaw,165,261229,55800000,19295,5,asia
Iran,Tehran,151,636374,84100000,18406,7,Asia
Tajikistan,Dushanbe,156,55251,10100000,24590,1,Asia
Oman,Muscat,135,119499,5100000,9902,3,Asia
Luxembourg,Luxembourg City,30,998,672000,1837,3,Europe
Pakistan,Islamabad,158,340509,241500000,28251,4,Asia
maldives,male,161,116,515000,16,0,Asia
nepal,kathmandu,162,56827,29200000,29032,2,Asia
bhutan,thimphu,163,14824,770000,24836,2,Asia
Vanuatu,Port Vila,190,4706,301000,6158,0,oceania
Iceland,Reykjavik,28,39769,384000,6923,0,europe
Azerbaijan,Baku,149,33436,10200000,14715,5,Asia
Soloman Islands,Honiara,191,11157,735000,7661,0,oceania
Armenia, Yerevan,150,11484,3000000,13419,4,Europe
burkina faso,ouagadougou,87,105878,22800000,2457,6,africa
ghana,accra,88,92098,30800000,2887,3,africa
togo,lome,89,21925,8100000,3235,3,africa
ecuador,quito,72,106889,16900000,20561,2,south america
peru,lima,73,496226,33700000,22205,5,South America
brazil,brasilia,74,3287969,203100000,9826,10,South America
zimbabwe,harare,110,150873,15200000,8504,4,africa
zambia,lusaka,111,290586,19600000,7641,8,Africa
Tanzania,Dodoma,113,364902,61700000,19331,8,Africa
Venezuela,Caracas,69,353842,28300000,16332,3,South America
Guyana,Georgetown,70,83000,744000,9094,3,South America
Benin,Porto-Novo,90,44310,12600000,2159,4,Africa
Suriname,Paramaribo,71,63251,617000,4035,3,South America
Malawi,Lilongwe,112,45747,21500000,9849,3,Africa
Nigeria,Abuja,91,356670,223800000,7936,4,Africa
