Year,H1N1,H2N2,H3N2
1960,0.0013417734473810043,0.9277795912977951,0.0708786352548241
1961,0.0018635742363235846,0.8996938765952701,0.0984425491684064
1962,0.0025882975578760564,0.8606859393159173,0.13672576312620677
1963,0.003594857733598371,0.8065082482787902,0.18989689398761134
1964,0.004992857990966234,0.7312614544553127,0.26374568755372096
1965,0.006934525040761682,0.6267520172075108,0.3663134577517275
1966,0.009631284881668563,0.4816000183643817,0.5087686967539503
1967,0.013376784756238951,0.2800000148291198,0.7066232004146413
1968,0.018578868099648913,0,0.9814211319003512
1969,0.025803984209871903,0,0.9741960157901277
1970,0.03583886838203149,0,0.9641611316179686
1971,0.049776208832829634,0,0.9502237911671706
1972,0.06913362867730033,0,0.9308663713226992
1973,0.09601893893909622,0,0.9039810610609036
1974,0.1333596571311254,0,0.8666403428688747
1975,0.18522178404732098,0,0.8147782159526784
1976,0.2572525512074826,0,0.7427474487925172
1977,0.3572953515305143,0,0.6427046484694855
1978,0.4908174495362815,0,0.5091825504637187
1979,0.6189607308302024,0,0.3810392691697974
1980,0.47111906413459065,0,0.5288809358654092
1981,0.4441216812002524,0,0.5558783187997476
1982,0.5317668646529772,0,0.46823313534702266
1983,0.34967435193861895,0,0.6503256480613808
1984,0.44072546568835724,0,0.5592745343116423
1985,0.2502227623771637,0,0.7497772376228364
1986,0.3471412354739057,0,0.6528587645260943
1987,0.4807467720748662,0,0.5192532279251335
1988,0.27968385107094984,0,0.7203161489290499
1989,0.3550304549712967,0,0.6449695450287033
1990,0.15803056209500074,0,0.8419694379049992
1991,0.21421471768499276,0,0.7857852823150073
1992,0.14281514070790813,0,0.8571848592920916
1993,0.12891790083875257,0,0.8710820991612477
1994,0.13825064417735428,0,0.8617493558226457
1995,0.19001207609901244,0,0.8099879239009876
1996,0.2555843004944556,0,0.7444156995055445
